text,category
Social media trend sentiment analytics dashboard built with Streamlit and Pandas,Data Science & Analytics
Credit scoring risk assessment model using scorecard methods and WOE binning in Python,Data Science & Analytics
Automated data quality validation and schema testing pipeline using Great Expectations,Data Science & Analytics
Retail market basket analysis using Apriori algorithm and association rule mining,Data Science & Analytics
Sports player performance analytics and expected goals xG model using Statsmodels,Data Science & Analytics
Energy consumption anomaly analysis and peak demand forecasting with Pandas,Data Science & Analytics
Customer cohort retention analysis and churn heatmap visualization using Python,Data Science & Analytics
Flight delay prediction and statistical root-cause analysis using Scikit-Learn,Data Science & Analytics
Data warehouse modeling and transformation pipeline using dbt and Snowflake,Data Science & Analytics
Real estate price index calculation and hedonic regression modeling in R and Python,Data Science & Analytics
Streaming telemetry data aggregation and anomaly alert pipeline using Apache Kafka,Data Science & Analytics
Web scraping and data extraction pipeline for job postings using Scrapy and Pandas,Data Science & Analytics
Clinical trial statistical survival analysis using Kaplan-Meier and Cox Proportional Hazards,Data Science & Analytics
Marketing attribution multi-touch modeling pipeline using Markov Chains in Python,Data Science & Analytics
Cryptocurrency liquidity pool analysis and impermanent loss simulator using Pandas,Data Science & Analytics
"SaaS product metric dashboard tracking MRR, ARR, and churn using Streamlit and DuckDB",Data Science & Analytics
Supply chain inventory optimization using safety stock calculations and SciPy,Data Science & Analytics
E-commerce product recommendation data pipeline using collaborative matrix factorization,Data Science & Analytics
Call center audio sentiment analytics and keyword frequency dashboard with Pandas,Data Science & Analytics
Hotel booking cancellation statistical prediction using Random Forest and Pandas,Data Science & Analytics
Macroeconomic indicator forecasting and inflation analysis using Vector Autoregression VAR,Data Science & Analytics
"Automated financial report generation script using Python, Pandas, and ReportLab PDF",Data Science & Analytics
Sensor data time-series filtering and spectral analysis using SciPy signal processing,Data Science & Analytics
User clickstream funnel analysis and drop-off rate visualization in Python,Data Science & Analytics
Automated feature engineering pipeline for tabular datasets using Featuretools,Data Science & Analytics
"Data lake ingestion architecture using Apache Iceberg, PySpark, and AWS S3",Data Science & Analytics
Retail pricing elasticity modeling and optimal discount calculator in Python,Data Science & Analytics
Telecom network latency analytics and outage prediction using Pandas and Seaborn,Data Science & Analytics
Bank loan default probability scoring model using XGBoost and SHAP explainability,Data Science & Analytics
Public transit bus arrival delay statistical modeling using GeoPandas,Data Science & Analytics
Customer satisfaction CSAT score survey text clustering using TF-IDF and K-Means,Data Science & Analytics
Insurance claims fraud pattern analysis and outlier detection using Isolation Forest,Data Science & Analytics
Air quality index AQI historical trend analysis and seasonal decomposition with Statsmodels,Data Science & Analytics
Website conversion rate optimization A/B test power analysis calculator in Python,Data Science & Analytics
Server cluster CPU and memory resource utilization forecasting using ARIMA,Data Science & Analytics
B2B sales lead qualification scoring model using Scikit-Learn and Pandas,Data Science & Analytics
Retail store foot traffic analysis using WiFi sensor logs and Matplotlib,Data Science & Analytics
Hospital emergency room patient wait time regression model using Pandas and Statsmodels,Data Science & Analytics
"Automated CI/CD deployment pipeline using GitHub Actions, Docker, and AWS ECS",Cloud & DevOps
Infrastructure as Code IaC provisioning for multi-region AWS VPC using Terraform,Cloud & DevOps
"Kubernetes cluster monitoring and alerting stack using Prometheus, Grafana, and Alertmanager",Cloud & DevOps
Zero-downtime blue-green deployment script for microservices on Kubernetes,Cloud & DevOps
"Serverless application deployment framework using AWS Lambda, API Gateway, and CDK",Cloud & DevOps
GitOps continuous delivery workflow using ArgoCD and Kubernetes Helm charts,Cloud & DevOps
Automated Docker container vulnerability scanning in GitLab CI using Trivy,Cloud & DevOps
"Centralized log aggregation pipeline using ELK Stack Elasticsearch, Logstash, and Kibana",Cloud & DevOps
Multi-cloud infrastructure deployment automation using Terraform on AWS and GCP,Cloud & DevOps
High-availability PostgreSQL database cluster setup with automatic failover and Patroni,Cloud & DevOps
Kubernetes auto-scaling configuration using Horizontal Pod Autoscaler HPA and KEDA,Cloud & DevOps
Secure secret management integration using HashiCorp Vault and Kubernetes secrets,Cloud & DevOps
Distributed tracing and performance monitoring setup using OpenTelemetry and Jaeger,Cloud & DevOps
Automated backup and disaster recovery replication script for AWS S3 and RDS,Cloud & DevOps
"Ansible playbook automation for Linux server provisioning, hardening, and patching",Cloud & DevOps
Cloud-native API gateway and reverse proxy routing using Traefik and Docker Compose,Cloud & DevOps
Continuous security compliance auditing tool for AWS using AWS Config and Boto3,Cloud & DevOps
Nginx reverse proxy and SSL TLS automated certificate renewal using Let's Encrypt Certbot,Cloud & DevOps
High-availability MySQL database cluster orchestration using Docker Swarm,Cloud & DevOps
Cloud cost optimization script identifying unattached AWS EBS volumes and EC2,Cloud & DevOps
Serverless event-driven architecture built with GCP Cloud Functions and Pub/Sub,Cloud & DevOps
Infrastructure automation testing script using Testinfra and Docker,Cloud & DevOps
Kubernetes cluster deployment automation using Kubeadm and Calico CNI,Cloud & DevOps
Edge computing deployment pipeline using K3s and Raspberry Pi nodes,Cloud & DevOps
"Cloud service mesh configuration using Istio, Envoy, and Kubernetes",Cloud & DevOps
Automated Kubernetes disaster recovery and backup orchestration using Velero,Cloud & DevOps
AWS CloudFormation template generator for multi-tier microservice architecture,Cloud & DevOps
Docker image optimization multi-stage build scripts reducing container image sizes,Cloud & DevOps
Terraform module for deploying scalable elastic Kubernetes clusters EKS on AWS,Cloud & DevOps
Automated canary release deployment controller using Flagger and Linkerd,Cloud & DevOps
Serverless cron job scheduling and worker queue processing on Google Cloud Tasks,Cloud & DevOps
Chaos engineering experiment runner for testing Kubernetes resiliency with Chaos Mesh,Cloud & DevOps
Cloud security posture management CSPM compliance checker for Azure with Terraform,Cloud & DevOps
Automated staging environment ephemeral preview deployment bot for GitHub Pull Requests,Cloud & DevOps
Distributed caching layer deployment using Redis Cluster on Kubernetes with Helm,Cloud & DevOps
Network ingress controller setup on Kubernetes with NGINX Ingress and cert-manager,Cloud & DevOps
Automated database migration runner and schema sync pipeline in Docker container,Cloud & DevOps
Cloud cost anomaly detection and Slack alert notification system using AWS Cost Explorer API,Cloud & DevOps
Self-hosted GitHub Actions runner autoscaling on Kubernetes using actions-runner-controller,Cloud & DevOps
Multi-region DNS failover routing configuration using AWS Route 53 and health checks,Cloud & DevOps
Kafka cluster deployment and topic partition management on Kubernetes with Strimzi,Cloud & DevOps
Ansible automated zero-downtime rolling update deployment for Django web servers,Cloud & DevOps
Elasticsearch cluster backup snapshot automation to AWS S3 using Curator,Cloud & DevOps
Kubernetes policy enforcement and admission webhook using Open Policy Agent OPA Gatekeeper,Cloud & DevOps
Container runtime security monitoring daemon using Falco and eBPF,Cloud & DevOps
"Automated static site hosting pipeline on AWS S3, CloudFront CDN, and Route 53",Cloud & DevOps
Grafana enterprise dashboard templates for microservice latency and error rate tracking,Cloud & DevOps
Automated SSL certificate expiry monitoring and Slack alert daemon in Python,Cloud & DevOps
GCP BigQuery infrastructure deployment automation using Terraform and Cloud Build,Cloud & DevOps
HashiCorp Nomad cluster job scheduler setup for lightweight container orchestration,Cloud & DevOps
Network packet sniffer and port scanner built with C++ and socket programming,Cybersecurity & Systems
Vulnerability scanner and password security auditor written in Python,Cybersecurity & Systems
Operating system kernel driver and low-level memory management simulation in C,Cybersecurity & Systems
Cryptographic file encryption tool using AES-256 and RSA public key infrastructure,Cybersecurity & Systems
Intrusion detection system IDS monitoring network traffic anomalies in C++,Cybersecurity & Systems
Malware reverse engineering and static analysis toolkit using Python and Volatility,Cybersecurity & Systems
Web application firewall WAF filtering SQL injection and XSS attacks,Cybersecurity & Systems
Embedded systems firmware for ARM Cortex-M microcontrollers using C and FreeRTOS,Cybersecurity & Systems
Wireless network security auditor testing WPA2 handshake capture in Python,Cybersecurity & Systems
Secure password manager using Argon2 key derivation and AES-GCM encryption,Cybersecurity & Systems
Linux kernel module for monitoring process creation and syscall auditing,Cybersecurity & Systems
Hardware Security Module HSM integration library written in C++,Cybersecurity & Systems
Network vulnerability scanner utilizing Nmap scripts and Python reporting,Cybersecurity & Systems
Embedded IoT microcontroller firmware written in Rust for ESP32 hardware,Cybersecurity & Systems
Zero-trust authentication proxy enforcing mTLS mutual TLS certificates,Cybersecurity & Systems
Buffer overflow exploit mitigation demonstrator and shellcode lab in C,Cybersecurity & Systems
Penetration testing payload generator written in Python and Bash,Cybersecurity & Systems
Secure VPN tunnel client using WireGuard protocol in C,Cybersecurity & Systems
Steganography tool hiding encrypted payload messages inside PNG images,Cybersecurity & Systems
Active Directory security auditor analyzing Kerberoasting and BloodHound paths,Cybersecurity & Systems
Firmware update verification tool using SHA-256 cryptographic signatures,Cybersecurity & Systems
Network protocol analyzer and dissector written in C for Wireshark,Cybersecurity & Systems
Keylogger detection and prevention software for Windows using C++ WinAPI,Cybersecurity & Systems
Rootkit detector checking Linux kernel symbol table integrity,Cybersecurity & Systems
SIEM log analyzer detecting brute-force SSH login attempts in Python,Cybersecurity & Systems
Zero-day vulnerability fuzzer for network protocols written in Rust,Cybersecurity & Systems
Cross-platform memory forensicator and RAM dump analyzer in C++,Cybersecurity & Systems
Low-level bootloader and x86 operating system kernel written in Assembly and C,Cybersecurity & Systems
DDoS attack mitigation proxy with rate-limiting token bucket in Rust,Cybersecurity & Systems
Elliptic-curve cryptography ECC key exchange implementation in C,Cybersecurity & Systems
Process injection and DLL hijacking detection engine for Windows in C++,Cybersecurity & Systems
Static code analysis security scanner finding hardcoded API keys in Python,Cybersecurity & Systems
DNS tunneling detection and exfiltration prevention tool in Go and Python,Cybersecurity & Systems
Custom TCP/IP networking stack implementation in C on raw sockets,Cybersecurity & Systems
Ransomware behavior analyzer monitoring filesystem entropy changes in C#,Cybersecurity & Systems
Secure multi-party computation protocol demonstrator in Python,Cybersecurity & Systems
Bluetooth Low Energy BLE security auditor for IoT devices in Python,Cybersecurity & Systems
Linux eBPF kernel tracing tool for tracking malicious socket connections,Cybersecurity & Systems
Automated security header and SSL TLS cipher suite scanner in Python,Cybersecurity & Systems
USB Rubber Ducky payload emulator and keystroke injection tool on Raspberry Pi Pico,Cybersecurity & Systems
Homomorphic encryption prototype for privacy-preserving computations,Cybersecurity & Systems
Sandbox malware execution analyzer logging system API calls in Python,Cybersecurity & Systems
Firmware reverse engineering disassembler and string extractor in Python,Cybersecurity & Systems
Network arp spoofing and MITM attack detection alert daemon in C,Cybersecurity & Systems
Secure cryptographic token generator based on HMAC-SHA512 in C++,Cybersecurity & Systems
Windows registry persistence analyzer for post-exploitation detection,Cybersecurity & Systems
Virtual machine hypervisor memory isolation demonstrator in C,Cybersecurity & Systems
Quantum-resistant post-quantum cryptography Kyber algorithm implementation in Rust,Cybersecurity & Systems
Automated phishing URL classification engine using certificate and WHOIS features,Cybersecurity & Systems
Linux PAM module for biometric fingerprint authentication in C,Cybersecurity & Systems
